lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w	2.449	3.045	2.67	1.71	2.978	2.713	2.169	2.735	2.492	2.032	2.659	2.112	2.46	2.724	2.343	2.314	2.496	2.65	2.588	1.851	2.053	2.626	2.579	2.326	2.95	2.448	2.675	2.148	2.856	2.341	3.053	3.07	2.649	3.06	2.45396	1116879.0	1566783.593869
sub-3_ses-2_T1w	2.539	2.905	2.651	1.76	3.303	2.853	2.374	2.919	2.579	2.065	2.749	2.22	2.536	2.865	2.687	2.536	2.618	2.658	2.577	1.718	2.168	2.688	2.77	2.368	3.031	2.479	2.791	2.284	2.991	2.539	3.014	3.332	2.51	2.999	2.55869	1137783.0	1565688.685682
sub-3_ses-3_T1w	2.565	2.748	2.627	1.795	3.27	2.891	2.387	2.863	2.532	2.057	2.657	2.158	2.378	2.799	2.401	2.58	2.622	2.683	2.573	1.572	2.11	2.536	2.737	2.382	2.762	2.394	2.655	2.22	2.939	2.514	3.089	3.478	2.427	2.986	2.50966	1149373.0	1550058.179852
sub-3_ses-4_T1w	2.552	2.808	2.673	1.764	3.114	2.839	2.344	2.888	2.649	2.078	2.699	2.156	2.387	2.807	2.574	2.52	2.661	2.549	2.551	1.686	2.136	2.615	2.757	2.354	2.973	2.436	2.684	2.262	3.0	2.547	3.11	3.327	2.723	2.907	2.52979	1149541.0	1556418.483233
sub-3_ses-5_T1w	2.456	2.744	2.626	1.679	3.291	2.806	2.326	2.756	2.454	1.999	2.658	2.08	2.328	2.727	2.613	2.551	2.635	2.7	2.495	1.69	2.086	2.455	2.7	2.308	2.67	2.418	2.642	2.216	2.874	2.53	2.918	2.973	2.511	2.997	2.47448	1148913.0	1549572.411905
sub-3_ses-6_T1w	2.52	2.802	2.587	1.693	3.196	2.771	2.386	2.734	2.529	2.021	2.68	2.141	2.451	2.766	2.543	2.504	2.608	2.586	2.467	1.658	2.117	2.58	2.71	2.349	2.979	2.385	2.647	2.206	2.853	2.513	3.043	2.829	2.554	2.949	2.48126	1145720.0	1553271.016738
sub-3_ses-7_T1w	2.391	2.619	2.485	1.722	2.813	2.809	2.165	2.682	2.546	2.0	2.549	2.065	2.483	2.495	2.486	2.174	2.409	2.647	2.341	1.594	2.0	2.495	2.472	2.135	2.898	2.225	2.516	2.018	2.713	2.331	2.739	3.024	2.212	2.683	2.34566	1143555.0	1565207.164871
sub-3_ses-8_T1w	2.418	2.841	2.518	1.701	2.855	2.797	2.345	2.735	2.472	2.085	2.639	2.117	2.404	2.717	2.541	2.488	2.554	2.622	2.482	1.591	2.122	2.548	2.666	2.31	2.624	2.386	2.648	2.211	2.888	2.463	2.991	3.351	2.494	2.953	2.46949	1143933.0	1559403.122972
sub-3_ses-9_T1w	2.61	2.824	2.597	1.666	3.389	2.851	2.379	2.858	2.616	2.073	2.679	2.102	2.39	2.819	2.637	2.419	2.551	2.751	2.396	1.586	2.137	2.542	2.721	2.341	2.768	2.433	2.716	2.241	2.871	2.487	3.078	3.278	2.57	2.874	2.50173	1154182.0	1564013.863215
sub-3_ses-10_T1w	2.549	2.832	2.612	1.772	3.339	2.914	2.405	2.87	2.542	2.138	2.753	2.17	2.44	2.75	2.659	2.544	2.647	2.706	2.458	1.718	2.128	2.518	2.766	2.402	2.866	2.418	2.742	2.265	2.925	2.584	2.927	3.429	2.656	3.126	2.54427	1143125.0	1552142.127839
