lh.aparc.DKTatlas.thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w	2.895	2.663	1.811	3.062	2.753	2.165	2.704	2.523	2.029	2.7	2.103	2.423	2.648	2.344	2.346	2.53	2.687	2.51	1.835	2.071	2.534	2.577	2.323	2.861	2.441	2.653	2.169	2.828	2.342	2.636	3.153	2.45396	1116879.0	1566783.593869
sub-3_ses-2_T1w	2.934	2.641	1.83	3.312	2.85	2.393	2.941	2.6	2.057	2.758	2.2	2.559	2.75	2.679	2.576	2.649	2.703	2.45	1.728	2.19	2.669	2.776	2.379	2.931	2.501	2.717	2.31	2.988	2.542	2.49	3.051	2.55869	1137783.0	1565688.685682
sub-3_ses-3_T1w	2.793	2.627	1.845	3.185	2.902	2.409	2.896	2.55	2.043	2.65	2.143	2.4	2.706	2.391	2.611	2.649	2.62	2.466	1.579	2.132	2.54	2.743	2.376	2.672	2.46	2.581	2.254	2.948	2.524	2.407	3.02	2.50966	1149373.0	1550058.179852
sub-3_ses-4_T1w	2.808	2.659	1.825	3.114	2.829	2.368	2.917	2.657	2.068	2.684	2.145	2.429	2.731	2.57	2.543	2.694	2.509	2.434	1.701	2.161	2.612	2.765	2.363	2.819	2.449	2.637	2.284	2.97	2.552	2.714	3.013	2.52979	1149541.0	1556418.483233
sub-3_ses-5_T1w	2.741	2.612	1.74	3.231	2.794	2.354	2.798	2.479	1.992	2.662	2.073	2.367	2.635	2.599	2.563	2.678	2.604	2.397	1.693	2.113	2.453	2.708	2.311	2.617	2.469	2.587	2.245	2.86	2.525	2.497	2.994	2.47448	1148913.0	1549572.411905
sub-3_ses-6_T1w	2.787	2.581	1.756	3.223	2.778	2.402	2.769	2.544	1.997	2.711	2.134	2.477	2.67	2.538	2.521	2.652	2.53	2.354	1.668	2.135	2.548	2.713	2.351	2.844	2.414	2.592	2.254	2.814	2.523	2.556	2.996	2.48126	1145720.0	1553271.016738
sub-3_ses-7_T1w	2.652	2.481	1.74	2.832	2.814	2.18	2.722	2.552	1.99	2.494	2.042	2.498	2.425	2.455	2.228	2.44	2.461	2.252	1.598	2.015	2.491	2.477	2.141	2.819	2.285	2.461	2.045	2.709	2.337	2.214	2.75	2.34566	1143555.0	1565207.164871
sub-3_ses-8_T1w	2.806	2.514	1.771	2.92	2.768	2.366	2.785	2.485	2.073	2.661	2.1	2.468	2.626	2.536	2.506	2.587	2.602	2.362	1.596	2.143	2.535	2.671	2.318	2.553	2.43	2.589	2.232	2.876	2.461	2.477	2.998	2.46949	1143933.0	1559403.122972
sub-3_ses-9_T1w	2.866	2.596	1.759	3.369	2.826	2.386	2.92	2.649	2.068	2.724	2.092	2.406	2.734	2.597	2.434	2.58	2.626	2.332	1.599	2.151	2.541	2.729	2.34	2.629	2.458	2.66	2.274	2.87	2.48	2.56	2.94	2.50173	1154182.0	1564013.863215
sub-3_ses-10_T1w	2.852	2.611	1.826	3.321	2.906	2.424	2.92	2.564	2.131	2.756	2.161	2.478	2.675	2.65	2.572	2.687	2.656	2.356	1.72	2.154	2.53	2.77	2.395	2.745	2.454	2.673	2.295	2.945	2.587	2.639	3.18	2.54427	1143125.0	1552142.127839
sub-3_ses-11_T1w	2.814	2.562	1.838	3.402	2.829	2.343	2.893	2.694	2.12	2.66	2.157	2.471	2.674	2.614	2.496	2.587	2.629	2.366	1.649	2.05	2.63	2.638	2.283	2.815	2.415	2.608	2.177	2.957	2.414	2.553	3.021	2.48882	1143816.0	1556615.66054
sub-3_ses-12_T1w	2.81	2.601	1.808	3.069	2.775	2.377	2.879	2.563	2.041	2.668	2.088	2.367	2.664	2.61	2.46	2.762	2.679	2.513	1.629	2.124	2.522	2.737	2.336	2.654	2.468	2.63	2.241	2.881	2.475	2.541	3.136	2.49397	1147335.0	1557155.262507
sub-3_ses-13_T1w	2.807	2.578	1.656	3.387	2.855	2.438	2.938	2.525	2.11	2.712	2.114	2.416	2.75	2.627	2.403	2.651	2.642	2.435	1.528	2.162	2.563	2.715	2.305	2.614	2.459	2.615	2.262	2.936	2.481	2.516	2.931	2.50486	1155226.0	1552505.754145
sub-3_ses-14_T1w	2.733	2.567	1.717	3.283	2.718	2.334	2.815	2.492	2.045	2.571	2.047	2.356	2.667	2.527	2.483	2.61	2.627	2.393	1.519	2.119	2.511	2.727	2.289	2.593	2.442	2.59	2.219	2.875	2.477	2.533	3.01	2.45998	1148386.0	1559657.916874
sub-3_ses-15_T1w	2.806	2.607	1.812	3.455	2.821	2.366	2.865	2.563	2.092	2.742	2.136	2.457	2.696	2.581	2.608	2.695	2.623	2.486	1.654	2.182	2.466	2.767	2.405	2.718	2.5	2.608	2.27	2.936	2.474	2.631	3.083	2.51945	1145403.0	1557874.917975
