rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-1_ses-1_T1w.long.sub-1_base	789.0	628.0	1989.0	1508.0	429.0	2917.0	5205.0	3400.0	973.0	4560.0	2787.0	3008.0	2126.0	3516.0	616.0	1334.0	1257.0	782.0	1484.0	1650.0	4340.0	1222.0	4780.0	4311.0	495.0	6414.0	6701.0	5576.0	3538.0	3584.0	292.0	460.0	302.0	2654.0	85625.3	1112398.0	1525148.075844
sub-1_ses-2_T1w.long.sub-1_base	781.0	627.0	1991.0	1504.0	430.0	2967.0	5254.0	3430.0	964.0	4544.0	2794.0	3037.0	2137.0	3552.0	621.0	1327.0	1254.0	828.0	1486.0	1644.0	4365.0	1220.0	4789.0	4284.0	503.0	6631.0	6717.0	5554.0	3534.0	3590.0	281.0	461.0	302.0	2620.0	86019.9	1113885.0	1525148.075844
sub-1_ses-3_T1w.long.sub-1_base	781.0	651.0	2000.0	1534.0	431.0	2989.0	5274.0	3425.0	967.0	4610.0	2836.0	3073.0	2184.0	3573.0	615.0	1325.0	1257.0	824.0	1498.0	1658.0	4410.0	1243.0	4871.0	4323.0	539.0	6728.0	6791.0	5604.0	3537.0	3635.0	297.0	465.0	300.0	2643.0	86894.6	1120624.0	1525148.075844
sub-1_ses-4_T1w.long.sub-1_base	789.0	629.0	2001.0	1560.0	440.0	2985.0	5262.0	3412.0	975.0	4593.0	2810.0	3049.0	2159.0	3526.0	613.0	1360.0	1260.0	806.0	1502.0	1677.0	4373.0	1236.0	4836.0	4326.0	519.0	6605.0	6747.0	5615.0	3536.0	3615.0	300.0	469.0	299.0	2621.0	86506.8	1122177.0	1525148.075844
sub-1_ses-5_T1w.long.sub-1_base	788.0	635.0	2011.0	1492.0	451.0	2947.0	5242.0	3385.0	947.0	4588.0	2786.0	2982.0	2155.0	3461.0	616.0	1331.0	1261.0	813.0	1492.0	1620.0	4347.0	1223.0	4808.0	4273.0	526.0	6552.0	6773.0	5565.0	3539.0	3586.0	295.0	476.0	299.0	2644.0	85905.0	1111986.0	1525148.075844
sub-1_ses-6_T1w.long.sub-1_base	781.0	634.0	2000.0	1547.0	430.0	2967.0	5229.0	3401.0	980.0	4593.0	2801.0	2999.0	2149.0	3550.0	628.0	1322.0	1255.0	819.0	1488.0	1642.0	4375.0	1239.0	4839.0	4307.0	507.0	6683.0	6757.0	5564.0	3547.0	3623.0	285.0	483.0	306.0	2623.0	86352.7	1117224.0	1525148.075844
sub-1_ses-7_T1w.long.sub-1_base	781.0	632.0	1986.0	1521.0	429.0	2957.0	5232.0	3373.0	950.0	4583.0	2756.0	3031.0	2146.0	3490.0	614.0	1326.0	1252.0	815.0	1489.0	1664.0	4351.0	1233.0	4833.0	4288.0	510.0	6599.0	6740.0	5552.0	3535.0	3598.0	300.0	474.0	299.0	2608.0	85945.3	1108821.0	1525148.075844
sub-1_ses-8_T1w.long.sub-1_base	778.0	647.0	1997.0	1535.0	444.0	2992.0	5311.0	3454.0	1004.0	4624.0	2834.0	3015.0	2188.0	3607.0	631.0	1336.0	1265.0	835.0	1516.0	1643.0	4400.0	1256.0	4873.0	4305.0	524.0	6748.0	6788.0	5610.0	3570.0	3624.0	307.0	476.0	301.0	2665.0	87105.7	1122685.0	1525148.075844
sub-1_ses-9_T1w.long.sub-1_base	779.0	641.0	1987.0	1536.0	443.0	2976.0	5269.0	3438.0	956.0	4581.0	2828.0	2954.0	2192.0	3598.0	626.0	1328.0	1267.0	827.0	1510.0	1619.0	4406.0	1257.0	4842.0	4321.0	529.0	6669.0	6743.0	5594.0	3558.0	3616.0	292.0	463.0	304.0	2638.0	86588.2	1117002.0	1525148.075844
sub-1_ses-10_T1w.long.sub-1_base	785.0	626.0	1992.0	1564.0	455.0	2998.0	5237.0	3413.0	963.0	4580.0	2825.0	3057.0	2183.0	3567.0	625.0	1333.0	1256.0	816.0	1492.0	1669.0	4334.0	1249.0	4787.0	4307.0	501.0	6550.0	6716.0	5564.0	3531.0	3579.0	310.0	455.0	310.0	2610.0	86237.2	1118910.0	1525148.075844
