rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-1_ses-1_T1w.long.sub-1_base	666.0	2106.0	1875.0	387.0	2646.0	5155.0	3669.0	971.0	4546.0	3189.0	2978.0	1555.0	4144.0	656.0	1450.0	1483.0	655.0	1530.0	1609.0	4812.0	1283.0	4615.0	4301.0	715.0	4498.0	8987.0	4690.0	4602.0	3380.0	313.0	2158.0	85625.3	1112398.0	1525148.075844
sub-1_ses-2_T1w.long.sub-1_base	667.0	2110.0	1867.0	388.0	2682.0	5204.0	3710.0	963.0	4533.0	3204.0	3003.0	1545.0	4177.0	660.0	1442.0	1483.0	675.0	1525.0	1607.0	4830.0	1280.0	4613.0	4271.0	731.0	4679.0	9056.0	4678.0	4585.0	3383.0	312.0	2159.0	86019.9	1113885.0	1525148.075844
sub-1_ses-3_T1w.long.sub-1_base	693.0	2128.0	1901.0	391.0	2706.0	5230.0	3710.0	960.0	4590.0	3277.0	3048.0	1579.0	4199.0	650.0	1446.0	1487.0	662.0	1537.0	1618.0	4882.0	1304.0	4690.0	4310.0	770.0	4775.0	9152.0	4721.0	4584.0	3420.0	311.0	2163.0	86894.6	1120624.0	1525148.075844
sub-1_ses-4_T1w.long.sub-1_base	669.0	2120.0	1930.0	396.0	2686.0	5220.0	3705.0	976.0	4580.0	3223.0	3018.0	1559.0	4152.0	652.0	1480.0	1493.0	655.0	1540.0	1638.0	4849.0	1294.0	4662.0	4305.0	741.0	4659.0	9116.0	4722.0	4608.0	3402.0	310.0	2146.0	86506.8	1122177.0	1525148.075844
sub-1_ses-5_T1w.long.sub-1_base	675.0	2129.0	1851.0	401.0	2674.0	5199.0	3658.0	944.0	4580.0	3207.0	2951.0	1564.0	4083.0	657.0	1450.0	1485.0	663.0	1533.0	1577.0	4826.0	1280.0	4638.0	4254.0	755.0	4624.0	9098.0	4674.0	4618.0	3373.0	310.0	2171.0	85905.0	1111986.0	1525148.075844
sub-1_ses-6_T1w.long.sub-1_base	673.0	2119.0	1915.0	388.0	2692.0	5199.0	3679.0	975.0	4557.0	3232.0	2976.0	1561.0	4173.0	666.0	1441.0	1485.0	664.0	1529.0	1603.0	4841.0	1297.0	4667.0	4293.0	736.0	4724.0	9111.0	4676.0	4623.0	3409.0	319.0	2133.0	86352.7	1117224.0	1525148.075844
sub-1_ses-7_T1w.long.sub-1_base	673.0	2111.0	1888.0	393.0	2667.0	5190.0	3656.0	947.0	4557.0	3174.0	3004.0	1553.0	4112.0	654.0	1444.0	1484.0	660.0	1531.0	1626.0	4835.0	1290.0	4654.0	4261.0	734.0	4650.0	9092.0	4671.0	4601.0	3380.0	312.0	2141.0	85945.3	1108821.0	1525148.075844
sub-1_ses-8_T1w.long.sub-1_base	683.0	2124.0	1902.0	403.0	2704.0	5271.0	3739.0	1000.0	4605.0	3289.0	2986.0	1598.0	4229.0	664.0	1451.0	1495.0	670.0	1550.0	1605.0	4875.0	1315.0	4700.0	4291.0	752.0	4770.0	9184.0	4714.0	4649.0	3414.0	315.0	2159.0	87105.7	1122685.0	1525148.075844
sub-1_ses-9_T1w.long.sub-1_base	679.0	2108.0	1906.0	401.0	2692.0	5221.0	3721.0	954.0	4561.0	3260.0	2936.0	1597.0	4224.0	663.0	1453.0	1496.0	663.0	1552.0	1571.0	4863.0	1319.0	4669.0	4302.0	755.0	4700.0	9124.0	4713.0	4609.0	3409.0	315.0	2151.0	86588.2	1117002.0	1525148.075844
sub-1_ses-10_T1w.long.sub-1_base	663.0	2120.0	1930.0	410.0	2708.0	5187.0	3703.0	962.0	4555.0	3232.0	3036.0	1579.0	4191.0	662.0	1450.0	1491.0	664.0	1530.0	1630.0	4817.0	1307.0	4601.0	4291.0	724.0	4613.0	9088.0	4675.0	4584.0	3368.0	322.0	2144.0	86237.2	1118910.0	1525148.075844
