lh.aparc.DKTatlas.thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-1_ses-1_T1w.long.sub-1_base	2.691	2.608	1.896	3.702	2.768	2.431	2.938	2.353	2.078	2.692	1.966	2.538	2.797	3.161	2.518	2.717	2.497	2.34	1.787	2.121	2.548	2.72	2.288	2.714	2.39	2.741	2.182	3.005	2.557	2.372	3.213	2.52738	1112398.0	1525148.075844
sub-1_ses-2_T1w.long.sub-1_base	2.636	2.564	1.879	3.697	2.714	2.358	2.914	2.321	2.041	2.61	1.944	2.485	2.767	3.171	2.457	2.671	2.483	2.301	1.76	2.094	2.511	2.679	2.265	2.676	2.289	2.675	2.154	2.967	2.516	2.435	3.15	2.48365	1113885.0	1525148.075844
sub-1_ses-3_T1w.long.sub-1_base	2.75	2.579	1.902	3.568	2.708	2.396	2.913	2.345	2.042	2.646	1.929	2.504	2.782	3.174	2.53	2.684	2.451	2.316	1.738	2.133	2.541	2.71	2.299	2.708	2.379	2.743	2.188	3.006	2.571	2.391	3.152	2.51412	1120624.0	1525148.075844
sub-1_ses-4_T1w.long.sub-1_base	2.765	2.653	1.892	3.534	2.714	2.412	2.916	2.37	2.071	2.699	1.923	2.54	2.788	3.153	2.52	2.703	2.558	2.334	1.701	2.14	2.574	2.728	2.305	2.775	2.433	2.771	2.189	3.0	2.552	2.479	3.194	2.53027	1122177.0	1525148.075844
sub-1_ses-5_T1w.long.sub-1_base	2.73	2.613	1.883	3.67	2.743	2.371	2.903	2.352	2.036	2.699	1.945	2.522	2.783	3.185	2.448	2.729	2.489	2.344	1.759	2.128	2.54	2.697	2.252	2.693	2.356	2.736	2.144	2.971	2.531	2.404	3.223	2.50679	1111986.0	1525148.075844
sub-1_ses-6_T1w.long.sub-1_base	2.768	2.588	1.875	3.645	2.742	2.389	2.946	2.374	2.038	2.662	1.935	2.353	2.792	3.188	2.532	2.694	2.502	2.367	1.77	2.133	2.566	2.699	2.277	2.71	2.376	2.744	2.163	3.004	2.554	2.37	3.216	2.51425	1117224.0	1525148.075844
sub-1_ses-7_T1w.long.sub-1_base	2.672	2.578	1.817	3.569	2.734	2.368	2.916	2.333	2.014	2.697	1.883	2.507	2.774	3.128	2.463	2.666	2.492	2.294	1.722	2.103	2.513	2.678	2.223	2.694	2.359	2.724	2.137	2.975	2.514	2.382	3.153	2.48855	1108821.0	1525148.075844
sub-1_ses-8_T1w.long.sub-1_base	2.726	2.631	1.845	3.668	2.726	2.39	2.948	2.369	2.077	2.653	1.903	2.495	2.799	3.163	2.509	2.713	2.502	2.348	1.755	2.139	2.555	2.712	2.288	2.678	2.376	2.775	2.158	3.021	2.571	2.38	3.152	2.52094	1122685.0	1525148.075844
sub-1_ses-9_T1w.long.sub-1_base	2.714	2.582	1.857	3.615	2.693	2.392	2.905	2.341	2.049	2.671	1.911	2.457	2.782	3.145	2.52	2.711	2.451	2.291	1.821	2.124	2.537	2.699	2.262	2.701	2.349	2.744	2.179	2.973	2.526	2.39	3.125	2.50284	1117002.0	1525148.075844
sub-1_ses-10_T1w.long.sub-1_base	2.742	2.632	1.895	3.677	2.745	2.422	2.923	2.395	2.051	2.71	1.92	2.511	2.804	3.177	2.5	2.709	2.582	2.342	1.732	2.122	2.58	2.716	2.303	2.722	2.407	2.756	2.192	2.997	2.555	2.459	3.213	2.52816	1118910.0	1525148.075844
