rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w	889.0	2020.0	2128.0	394.0	2883.0	5790.0	3857.0	818.0	4746.0	3560.0	3352.0	1874.0	4018.0	587.0	1708.0	1568.0	776.0	1370.0	1548.0	4153.0	1136.0	4200.0	4543.0	956.0	4504.0	10091.0	5201.0	4824.0	3358.0	307.0	1951.0	89109.8	1309546.0	1689687.894476
sub-2_ses-2_T1w	839.0	1892.0	2037.0	395.0	2995.0	5630.0	4010.0	826.0	4798.0	3583.0	3350.0	1934.0	4056.0	612.0	1679.0	1604.0	735.0	1375.0	1545.0	4050.0	912.0	4371.0	4516.0	985.0	4590.0	9900.0	5062.0	4840.0	3345.0	314.0	1933.0	88712.6	1304229.0	1664244.346295
sub-2_ses-3_T1w	831.0	1971.0	2099.0	369.0	2944.0	5804.0	3900.0	842.0	4751.0	3491.0	3303.0	1900.0	4083.0	589.0	1704.0	1552.0	746.0	1472.0	1538.0	4107.0	959.0	4243.0	4622.0	955.0	4565.0	9826.0	5059.0	4822.0	3295.0	304.0	1960.0	88603.7	1298938.0	1689039.10689
sub-2_ses-4_T1w	921.0	2043.0	2077.0	351.0	2888.0	5874.0	3935.0	876.0	4665.0	3570.0	3402.0	1931.0	4098.0	586.0	1696.0	1545.0	764.0	1501.0	1588.0	4134.0	1177.0	4391.0	4617.0	970.0	4728.0	9894.0	5068.0	4847.0	3345.0	319.0	1979.0	89783.1	1296845.0	1651817.124084
sub-2_ses-5_T1w	947.0	2047.0	2105.0	370.0	2940.0	5918.0	3924.0	848.0	4599.0	3599.0	3391.0	1904.0	4062.0	600.0	1736.0	1617.0	735.0	1387.0	1593.0	4112.0	1162.0	4354.0	4518.0	985.0	4561.0	9967.0	5121.0	4815.0	3335.0	303.0	1973.0	89528.7	1308132.0	1655518.967365
sub-2_ses-6_T1w	821.0	1983.0	2138.0	398.0	2896.0	5879.0	3944.0	857.0	4735.0	3474.0	3373.0	2020.0	4154.0	579.0	1768.0	1567.0	765.0	1414.0	1576.0	4087.0	1055.0	4344.0	4541.0	991.0	4523.0	9926.0	5054.0	4855.0	3309.0	301.0	1911.0	89235.4	1313236.0	1639371.811942
sub-2_ses-7_T1w	870.0	1961.0	2142.0	365.0	2905.0	5848.0	3979.0	834.0	4609.0	3434.0	3389.0	1865.0	4064.0	596.0	1632.0	1590.0	738.0	1415.0	1563.0	4113.0	966.0	4279.0	4440.0	981.0	4554.0	10064.0	4987.0	4899.0	3340.0	311.0	1946.0	88679.4	1300536.0	1652410.892557
sub-2_ses-8_T1w	765.0	1892.0	2068.0	361.0	2860.0	5886.0	3948.0	793.0	4564.0	3445.0	3328.0	1971.0	4093.0	587.0	1686.0	1476.0	748.0	1385.0	1557.0	4025.0	974.0	4315.0	4553.0	961.0	4329.0	9795.0	5068.0	4744.0	3251.0	307.0	1926.0	87664.1	1311284.0	1655237.425703
sub-2_ses-9_T1w	951.0	1962.0	2035.0	392.0	2896.0	5895.0	3868.0	865.0	4604.0	3512.0	3205.0	1825.0	4090.0	591.0	1709.0	1577.0	764.0	1425.0	1456.0	4090.0	1186.0	4314.0	4481.0	1022.0	4583.0	10010.0	4929.0	4804.0	3326.0	303.0	1941.0	88614.1	1302824.0	1634720.060833
sub-2_ses-10_T1w	886.0	2009.0	2014.0	370.0	2978.0	5882.0	3923.0	896.0	4562.0	3610.0	3362.0	1942.0	4154.0	635.0	1681.0	1625.0	761.0	1390.0	1545.0	3999.0	997.0	4307.0	4577.0	955.0	4733.0	10105.0	5060.0	4866.0	3369.0	307.0	1979.0	89479.0	1309519.0	1625325.23382
sub-2_ses-11_T1w	876.0	1960.0	2176.0	343.0	2926.0	5928.0	3949.0	869.0	4670.0	3530.0	3443.0	1904.0	4148.0	603.0	1718.0	1588.0	741.0	1416.0	1565.0	4127.0	982.0	4269.0	4514.0	997.0	4468.0	10086.0	5108.0	4869.0	3334.0	296.0	2003.0	89404.5	1305764.0	1661932.733146
sub-2_ses-12_T1w	905.0	2040.0	2121.0	366.0	2989.0	5932.0	4019.0	870.0	4634.0	3593.0	3432.0	1933.0	4016.0	611.0	1662.0	1527.0	752.0	1417.0	1478.0	4074.0	1175.0	4169.0	4507.0	1020.0	4577.0	9879.0	5080.0	4860.0	3368.0	290.0	1963.0	89257.7	1304926.0	1693626.741318
sub-2_ses-13_T1w	898.0	1917.0	2139.0	370.0	2914.0	5836.0	4057.0	911.0	4686.0	3699.0	3430.0	1983.0	4103.0	595.0	1714.0	1591.0	708.0	1394.0	1598.0	4092.0	1169.0	4441.0	4571.0	978.0	4610.0	10034.0	5095.0	4988.0	3295.0	300.0	1987.0	90103.0	1305001.0	1639480.031811
sub-2_ses-14_T1w	921.0	1955.0	2106.0	377.0	2873.0	5794.0	4045.0	830.0	4611.0	3616.0	3449.0	1985.0	4015.0	602.0	1708.0	1556.0	760.0	1404.0	1575.0	4058.0	1204.0	4375.0	4491.0	993.0	4608.0	9903.0	5071.0	4842.0	3303.0	307.0	1990.0	89327.0	1304361.0	1625419.966756
sub-2_ses-15_T1w	856.0	2001.0	2019.0	383.0	3022.0	5855.0	3976.0	852.0	4589.0	3579.0	3384.0	1931.0	4097.0	593.0	1653.0	1613.0	752.0	1437.0	1617.0	4087.0	989.0	4315.0	4591.0	975.0	4645.0	9993.0	5112.0	4906.0	3425.0	318.0	1982.0	89547.1	1296933.0	1640429.623848
sub-2_ses-16_T1w	908.0	1978.0	2135.0	379.0	2974.0	5835.0	3948.0	852.0	4768.0	3759.0	3402.0	1917.0	4168.0	593.0	1724.0	1609.0	766.0	1447.0	1591.0	4107.0	1168.0	4375.0	4548.0	1001.0	4706.0	10083.0	5081.0	4929.0	3387.0	312.0	1955.0	90405.4	1300914.0	1622170.608952
sub-2_ses-17_T1w	941.0	1974.0	2059.0	386.0	2933.0	5981.0	4011.0	835.0	4538.0	3561.0	3387.0	1903.0	4076.0	609.0	1664.0	1569.0	762.0	1409.0	1555.0	4127.0	1150.0	4259.0	4509.0	981.0	4565.0	10139.0	5097.0	4887.0	3360.0	318.0	1967.0	89514.4	1297984.0	1659628.37542
sub-2_ses-18_T1w	951.0	1997.0	2023.0	377.0	2927.0	6013.0	3896.0	871.0	4637.0	3429.0	3373.0	2030.0	4108.0	616.0	1718.0	1534.0	727.0	1391.0	1556.0	4100.0	1172.0	4400.0	4634.0	943.0	4566.0	10024.0	5147.0	4901.0	3402.0	306.0	1943.0	89711.3	1306144.0	1645580.299923
sub-2_ses-19_T1w	761.0	1965.0	2106.0	335.0	2972.0	5804.0	4018.0	844.0	4664.0	3580.0	3438.0	1925.0	4047.0	589.0	1685.0	1564.0	741.0	1365.0	1586.0	4069.0	957.0	4367.0	4575.0	977.0	4610.0	9980.0	5054.0	4845.0	3294.0	292.0	1914.0	88921.8	1300103.0	1626632.099584
sub-2_ses-20_T1w	823.0	2004.0	1979.0	378.0	2962.0	6082.0	3903.0	856.0	4534.0	3586.0	3363.0	1971.0	4168.0	642.0	1718.0	1608.0	734.0	1391.0	1546.0	4039.0	971.0	4420.0	4616.0	930.0	4713.0	10125.0	5197.0	4915.0	3418.0	303.0	1945.0	89838.6	1309587.0	1623514.177817
sub-2_ses-21_T1w	838.0	1957.0	2060.0	391.0	2968.0	5833.0	3899.0	814.0	4689.0	3445.0	3395.0	1976.0	4103.0	599.0	1683.0	1584.0	726.0	1395.0	1597.0	4052.0	996.0	4270.0	4536.0	984.0	4438.0	9901.0	4988.0	4833.0	3228.0	313.0	1956.0	88450.9	1308746.0	1649143.032261
sub-2_ses-22_T1w	930.0	2021.0	2136.0	366.0	2972.0	5935.0	3957.0	823.0	4763.0	3657.0	3388.0	1957.0	4075.0	589.0	1748.0	1559.0	747.0	1398.0	1582.0	4137.0	1159.0	4344.0	4605.0	991.0	4465.0	9916.0	5276.0	4933.0	3341.0	316.0	1944.0	90031.3	1310753.0	1633420.416629
sub-2_ses-23_T1w	831.0	1946.0	2113.0	369.0	2960.0	5812.0	3989.0	864.0	4665.0	3741.0	3376.0	1981.0	4050.0	588.0	1750.0	1594.0	732.0	1347.0	1564.0	4055.0	1025.0	4295.0	4577.0	998.0	4608.0	10198.0	5112.0	4956.0	3283.0	296.0	1978.0	89653.2	1311205.0	1634763.232587
sub-2_ses-24_T1w	900.0	1943.0	2148.0	360.0	2960.0	5841.0	4051.0	818.0	4662.0	3687.0	3407.0	1951.0	4157.0	584.0	1701.0	1580.0	761.0	1412.0	1568.0	4121.0	1138.0	4376.0	4521.0	974.0	4558.0	10012.0	5101.0	4969.0	3393.0	311.0	1973.0	89937.8	1306841.0	1643422.174738
sub-2_ses-25_T1w	821.0	1964.0	2120.0	390.0	2951.0	5748.0	4022.0	824.0	4763.0	3584.0	3468.0	1916.0	4045.0	585.0	1659.0	1525.0	735.0	1402.0	1564.0	3967.0	942.0	4301.0	4538.0	982.0	4446.0	9806.0	5090.0	4909.0	3258.0	306.0	1903.0	88536.1	1298328.0	1653651.081123
sub-2_ses-26_T1w	987.0	1959.0	2082.0	374.0	2957.0	5707.0	4006.0	888.0	4798.0	3532.0	3259.0	1964.0	4091.0	597.0	1718.0	1561.0	770.0	1419.0	1523.0	4053.0	1193.0	4398.0	4545.0	1023.0	4604.0	9985.0	5071.0	4893.0	3378.0	313.0	1965.0	89613.2	1307272.0	1635443.488623
