lh.aparc.DKTatlas.thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w	2.707	2.847	2.091	3.177	2.893	2.368	2.96	2.58	2.341	2.701	2.244	2.65	3.02	3.07	2.503	2.743	2.667	2.637	1.903	2.26	2.556	2.739	2.499	2.885	2.654	2.821	2.26	3.036	2.671	2.606	3.322	2.63693	1309546.0	1689687.894476
sub-2_ses-2_T1w	2.711	2.853	2.056	3.428	2.919	2.375	3.039	2.524	2.312	2.673	2.231	2.649	3.019	3.07	2.443	2.69	2.799	2.629	1.792	2.208	2.567	2.733	2.447	2.842	2.642	2.777	2.209	3.063	2.706	2.49	3.201	2.62322	1304229.0	1664244.346295
sub-2_ses-3_T1w	2.656	2.742	2.018	3.279	2.862	2.35	2.943	2.531	2.3	2.734	2.201	2.706	2.988	3.068	2.34	2.656	2.707	2.587	1.883	2.211	2.525	2.709	2.372	2.894	2.642	2.721	2.219	3.018	2.632	2.722	3.204	2.59336	1298938.0	1689039.10689
sub-2_ses-4_T1w	2.742	2.916	2.109	3.187	2.93	2.386	3.003	2.591	2.342	2.704	2.223	2.676	3.064	3.09	2.386	2.713	2.725	2.613	1.797	2.2	2.566	2.728	2.428	2.819	2.586	2.792	2.228	3.12	2.72	2.734	3.233	2.63046	1296845.0	1651817.124084
sub-2_ses-5_T1w	2.796	2.862	2.078	3.553	2.856	2.325	3.037	2.479	2.264	2.799	2.218	2.746	3.013	2.945	2.43	2.681	2.813	2.586	1.795	2.242	2.448	2.783	2.441	2.855	2.652	2.812	2.228	3.073	2.665	2.682	3.166	2.62354	1308132.0	1655518.967365
sub-2_ses-6_T1w	2.657	2.908	2.118	3.338	2.932	2.448	3.038	2.642	2.305	2.723	2.234	2.688	3.102	3.029	2.396	2.782	2.829	2.648	1.791	2.315	2.448	2.787	2.488	2.754	2.706	2.824	2.292	3.113	2.798	2.61	3.287	2.66518	1313236.0	1639371.811942
sub-2_ses-7_T1w	2.697	2.874	2.115	3.331	2.863	2.383	3.103	2.579	2.342	2.756	2.248	2.74	3.088	3.047	2.416	2.704	2.748	2.649	1.847	2.27	2.555	2.771	2.488	2.862	2.659	2.804	2.272	3.099	2.735	2.703	3.252	2.65589	1300536.0	1652410.892557
sub-2_ses-8_T1w	2.739	2.926	2.084	3.545	2.883	2.46	3.036	2.702	2.312	2.85	2.203	2.817	3.066	2.935	2.47	2.728	2.866	2.684	1.838	2.275	2.566	2.781	2.483	2.869	2.701	2.86	2.285	3.123	2.778	2.665	3.359	2.67723	1311284.0	1655237.425703
sub-2_ses-9_T1w	2.744	2.888	2.124	3.266	2.935	2.429	2.998	2.636	2.318	2.72	2.223	2.743	2.978	3.122	2.484	2.732	2.724	2.615	1.881	2.289	2.606	2.767	2.484	2.824	2.603	2.843	2.232	3.038	2.721	2.754	3.299	2.64532	1302824.0	1634720.060833
sub-2_ses-10_T1w	2.674	2.873	2.08	3.347	2.82	2.371	2.946	2.63	2.268	2.729	2.175	2.774	3.009	2.984	2.421	2.753	2.657	2.654	1.833	2.259	2.474	2.762	2.455	2.865	2.638	2.822	2.259	3.034	2.727	2.708	3.274	2.62627	1309519.0	1625325.23382
sub-2_ses-11_T1w	2.666	2.861	2.09	3.307	2.858	2.376	2.992	2.433	2.239	2.665	2.201	2.674	2.967	3.037	2.416	2.729	2.705	2.598	1.92	2.254	2.424	2.769	2.47	2.833	2.639	2.814	2.257	3.054	2.731	2.672	3.194	2.61767	1305764.0	1661932.733146
sub-2_ses-12_T1w	2.727	2.763	2.074	3.409	2.837	2.402	2.987	2.54	2.292	2.637	2.215	2.658	2.972	3.04	2.383	2.645	2.727	2.591	1.79	2.159	2.639	2.718	2.462	2.902	2.602	2.775	2.203	3.032	2.651	2.647	3.216	2.60069	1304926.0	1693626.741318
sub-2_ses-13_T1w	2.674	2.844	2.055	3.223	2.862	2.393	2.93	2.593	2.279	2.647	2.204	2.599	2.97	2.984	2.458	2.709	2.722	2.591	1.823	2.234	2.405	2.766	2.462	2.771	2.616	2.771	2.273	3.025	2.701	2.571	3.219	2.60785	1305001.0	1639480.031811
sub-2_ses-14_T1w	2.666	2.812	2.136	3.085	2.896	2.392	2.974	2.543	2.336	2.653	2.215	2.599	3.026	2.918	2.397	2.695	2.695	2.6	1.902	2.241	2.415	2.76	2.48	2.793	2.62	2.775	2.242	3.051	2.735	2.609	3.18	2.61878	1304361.0	1625419.966756
sub-2_ses-15_T1w	2.685	2.824	2.082	3.23	2.857	2.297	2.927	2.652	2.233	2.693	2.201	2.656	2.983	2.998	2.348	2.67	2.67	2.577	1.772	2.211	2.574	2.727	2.372	2.776	2.64	2.775	2.204	3.06	2.669	2.618	3.16	2.59157	1296933.0	1640429.623848
sub-2_ses-16_T1w	2.605	2.796	2.075	3.542	2.876	2.361	2.935	2.542	2.267	2.572	2.195	2.575	2.944	3.013	2.375	2.602	2.645	2.513	1.856	2.226	2.34	2.719	2.43	2.761	2.581	2.745	2.281	2.997	2.713	2.749	3.214	2.58382	1300914.0	1622170.608952
sub-2_ses-17_T1w	2.596	2.829	2.062	3.294	2.853	2.369	2.886	2.51	2.294	2.657	2.161	2.635	2.967	3.014	2.33	2.672	2.695	2.581	1.84	2.207	2.407	2.712	2.384	2.826	2.585	2.725	2.172	3.055	2.687	2.532	3.174	2.58045	1297984.0	1659628.37542
sub-2_ses-18_T1w	2.72	2.824	2.094	3.478	2.85	2.404	2.945	2.521	2.264	2.7	2.232	2.654	2.973	2.916	2.455	2.713	2.623	2.55	1.822	2.234	2.483	2.73	2.459	2.788	2.608	2.763	2.276	2.989	2.708	2.739	3.273	2.61012	1306144.0	1645580.299923
sub-2_ses-19_T1w	2.701	2.842	2.058	3.441	2.885	2.453	3.007	2.594	2.283	2.692	2.19	2.666	3.021	2.983	2.402	2.69	2.749	2.601	1.788	2.222	2.546	2.765	2.458	2.866	2.563	2.792	2.233	3.049	2.722	2.645	3.241	2.62183	1300103.0	1626632.099584
sub-2_ses-20_T1w	2.674	2.824	2.077	3.313	2.847	2.348	2.968	2.567	2.257	2.623	2.162	2.722	2.965	2.976	2.388	2.675	2.644	2.57	1.808	2.239	2.664	2.72	2.45	2.758	2.634	2.784	2.243	3.067	2.71	2.747	3.227	2.60417	1309587.0	1623514.177817
sub-2_ses-21_T1w	2.681	2.918	2.125	3.286	2.945	2.466	2.976	2.556	2.337	2.753	2.195	2.709	3.043	2.991	2.431	2.759	2.686	2.631	1.849	2.245	2.489	2.781	2.488	2.867	2.706	2.771	2.268	3.084	2.757	2.503	3.309	2.65091	1308746.0	1649143.032261
sub-2_ses-22_T1w	2.687	2.84	2.024	3.144	2.905	2.368	3.022	2.557	2.286	2.633	2.212	2.623	3.003	3.015	2.318	2.697	2.697	2.532	1.774	2.196	2.413	2.774	2.456	2.765	2.582	2.782	2.215	2.967	2.702	2.508	3.206	2.5946	1310753.0	1633420.416629
