rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w.long.sub-2_base	914.0	2035.0	2069.0	406.0	2957.0	5968.0	3990.0	853.0	4749.0	3678.0	3332.0	1954.0	4176.0	608.0	1710.0	1616.0	764.0	1434.0	1645.0	4180.0	1083.0	4379.0	4617.0	979.0	4588.0	10223.0	5208.0	4907.0	3425.0	311.0	2034.0	90793.5	1308498.0	1658297.590527
sub-2_ses-2_T1w.long.sub-2_base	899.0	1990.0	2017.0	408.0	2938.0	5936.0	3994.0	848.0	4711.0	3462.0	3308.0	1964.0	4160.0	595.0	1681.0	1632.0	748.0	1441.0	1628.0	4067.0	1008.0	4356.0	4537.0	973.0	4616.0	10210.0	5078.0	4912.0	3386.0	308.0	2002.0	89813.1	1300941.0	1658297.590527
sub-2_ses-3_T1w.long.sub-2_base	915.0	2000.0	2136.0	406.0	2977.0	5957.0	3960.0	871.0	4785.0	3736.0	3391.0	1938.0	4166.0	611.0	1692.0	1630.0	777.0	1457.0	1678.0	4144.0	1022.0	4363.0	4594.0	1022.0	4605.0	10144.0	5104.0	4905.0	3389.0	306.0	2039.0	90723.2	1307371.0	1658297.590527
sub-2_ses-4_T1w.long.sub-2_base	946.0	2074.0	2139.0	400.0	2966.0	5975.0	4038.0	855.0	4795.0	3754.0	3473.0	2027.0	4222.0	615.0	1716.0	1657.0	751.0	1472.0	1684.0	4188.0	1101.0	4438.0	4617.0	994.0	4799.0	10266.0	5143.0	4991.0	3399.0	309.0	2029.0	91834.2	1304397.0	1658297.590527
sub-2_ses-5_T1w.long.sub-2_base	909.0	2032.0	2036.0	396.0	2951.0	6005.0	4010.0	853.0	4739.0	3514.0	3337.0	1964.0	4177.0	606.0	1729.0	1640.0	754.0	1465.0	1653.0	4162.0	1040.0	4459.0	4559.0	985.0	4735.0	10242.0	5164.0	4921.0	3422.0	308.0	2021.0	90788.2	1311780.0	1658297.590527
sub-2_ses-6_T1w.long.sub-2_base	920.0	2023.0	2045.0	411.0	2959.0	5972.0	4032.0	879.0	4778.0	3683.0	3323.0	1998.0	4226.0	600.0	1715.0	1631.0	765.0	1467.0	1652.0	4129.0	1108.0	4425.0	4570.0	1016.0	4705.0	10282.0	5135.0	4946.0	3408.0	304.0	2010.0	91117.1	1308491.0	1658297.590527
sub-2_ses-7_T1w.long.sub-2_base	980.0	2022.0	2063.0	432.0	2975.0	5949.0	4014.0	859.0	4772.0	3679.0	3355.0	2008.0	4193.0	614.0	1671.0	1622.0	756.0	1477.0	1644.0	4109.0	1169.0	4388.0	4547.0	1044.0	4652.0	10219.0	5095.0	4942.0	3425.0	307.0	2044.0	91024.9	1299086.0	1658297.590527
sub-2_ses-8_T1w.long.sub-2_base	901.0	2028.0	2035.0	405.0	2967.0	5943.0	4007.0	851.0	4702.0	3446.0	3373.0	1945.0	4178.0	610.0	1691.0	1627.0	763.0	1459.0	1659.0	4120.0	1006.0	4382.0	4544.0	991.0	4586.0	10204.0	5089.0	4900.0	3373.0	308.0	2028.0	90121.0	1318054.0	1658297.590527
sub-2_ses-9_T1w.long.sub-2_base	1002.0	2071.0	2109.0	431.0	3051.0	6014.0	4067.0	882.0	4789.0	3713.0	3480.0	2024.0	4200.0	615.0	1747.0	1645.0	763.0	1472.0	1686.0	4161.0	1160.0	4396.0	4589.0	1035.0	4784.0	10392.0	5111.0	4941.0	3430.0	305.0	2023.0	92088.5	1313615.0	1658297.590527
sub-2_ses-10_T1w.long.sub-2_base	908.0	2035.0	2119.0	417.0	2974.0	5974.0	4011.0	870.0	4790.0	3672.0	3402.0	2010.0	4208.0	597.0	1729.0	1645.0	745.0	1453.0	1659.0	4113.0	1037.0	4404.0	4581.0	986.0	4760.0	10302.0	5117.0	4950.0	3399.0	303.0	2048.0	91217.3	1312394.0	1658297.590527
sub-2_ses-11_T1w.long.sub-2_base	906.0	2018.0	2100.0	400.0	2990.0	5960.0	4022.0	860.0	4770.0	3683.0	3426.0	1957.0	4222.0	604.0	1708.0	1647.0	750.0	1454.0	1678.0	4163.0	1048.0	4391.0	4608.0	978.0	4641.0	10242.0	5182.0	4958.0	3411.0	304.0	2018.0	91098.6	1312811.0	1658297.590527
sub-2_ses-12_T1w.long.sub-2_base	856.0	2004.0	2094.0	398.0	2957.0	5927.0	3952.0	850.0	4734.0	3555.0	3357.0	1921.0	4136.0	603.0	1674.0	1604.0	752.0	1439.0	1651.0	4063.0	979.0	4315.0	4506.0	983.0	4577.0	10036.0	5072.0	4878.0	3347.0	311.0	2015.0	89548.7	1311567.0	1658297.590527
sub-2_ses-13_T1w.long.sub-2_base	928.0	2024.0	2112.0	407.0	2955.0	5983.0	4009.0	880.0	4795.0	3692.0	3449.0	1972.0	4190.0	601.0	1706.0	1656.0	744.0	1463.0	1657.0	4122.0	1023.0	4412.0	4606.0	1006.0	4719.0	10287.0	5143.0	4947.0	3391.0	311.0	2018.0	91208.6	1312075.0	1658297.590527
sub-2_ses-14_T1w.long.sub-2_base	923.0	2040.0	2068.0	403.0	2928.0	5955.0	4002.0	901.0	4752.0	3598.0	3395.0	1974.0	4159.0	603.0	1706.0	1630.0	755.0	1453.0	1650.0	4104.0	1120.0	4392.0	4544.0	995.0	4674.0	10238.0	5145.0	4960.0	3381.0	296.0	2031.0	90773.0	1302504.0	1658297.590527
