lh.aparc.DKTatlas.thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w.long.sub-2_base	2.685	2.891	2.104	3.366	2.892	2.454	3.001	2.555	2.355	2.668	2.242	2.699	2.993	2.982	2.54	2.77	2.625	2.678	1.901	2.302	2.438	2.808	2.504	2.807	2.643	2.817	2.305	3.092	2.767	2.783	3.248	2.65575	1308498.0	1658297.590527
sub-2_ses-2_T1w.long.sub-2_base	2.682	2.902	2.106	3.567	2.958	2.469	3.056	2.551	2.344	2.74	2.236	2.753	3.027	3.038	2.494	2.793	2.758	2.682	1.889	2.312	2.371	2.832	2.508	2.854	2.688	2.833	2.293	3.156	2.826	2.818	3.26	2.6789	1300941.0	1658297.590527
sub-2_ses-3_T1w.long.sub-2_base	2.645	2.855	2.164	3.514	2.917	2.472	3.073	2.51	2.389	2.687	2.288	2.737	3.058	2.987	2.438	2.745	2.732	2.635	1.955	2.3	2.379	2.817	2.495	2.808	2.619	2.754	2.318	3.138	2.782	2.866	3.23	2.66349	1307371.0	1658297.590527
sub-2_ses-4_T1w.long.sub-2_base	2.718	2.916	2.125	3.443	2.944	2.491	3.055	2.589	2.345	2.682	2.243	2.693	3.066	2.995	2.477	2.784	2.7	2.671	1.89	2.297	2.5	2.801	2.523	2.787	2.613	2.806	2.296	3.191	2.814	2.803	3.207	2.67169	1304397.0	1658297.590527
sub-2_ses-5_T1w.long.sub-2_base	2.738	2.935	2.181	3.566	2.917	2.472	3.095	2.519	2.331	2.754	2.297	2.699	3.072	2.961	2.516	2.819	2.817	2.718	1.927	2.362	2.53	2.864	2.526	2.82	2.682	2.865	2.337	3.172	2.81	2.869	3.236	2.69937	1311780.0	1658297.590527
sub-2_ses-6_T1w.long.sub-2_base	2.629	2.888	2.16	3.453	2.904	2.491	3.057	2.533	2.33	2.725	2.259	2.737	3.057	2.973	2.52	2.768	2.773	2.653	1.923	2.327	2.432	2.828	2.514	2.784	2.641	2.831	2.298	3.153	2.8	2.791	3.22	2.67397	1308491.0	1658297.590527
sub-2_ses-7_T1w.long.sub-2_base	2.689	2.865	2.131	3.455	2.905	2.449	3.068	2.503	2.362	2.659	2.246	2.685	3.082	2.927	2.47	2.762	2.727	2.657	1.879	2.33	2.418	2.836	2.494	2.794	2.654	2.796	2.295	3.147	2.769	2.844	3.24	2.66448	1299086.0	1658297.590527
sub-2_ses-8_T1w.long.sub-2_base	2.725	2.961	2.139	3.451	2.929	2.513	3.101	2.602	2.369	2.782	2.253	2.757	3.074	2.977	2.53	2.806	2.822	2.715	1.887	2.321	2.536	2.86	2.556	2.821	2.672	2.859	2.344	3.16	2.809	2.827	3.297	2.70328	1318054.0	1658297.590527
sub-2_ses-9_T1w.long.sub-2_base	2.655	2.886	2.149	3.382	2.898	2.485	3.013	2.519	2.321	2.648	2.192	2.66	2.995	2.994	2.477	2.748	2.691	2.648	1.869	2.319	2.403	2.842	2.5	2.787	2.611	2.827	2.302	3.11	2.765	2.788	3.219	2.65198	1313615.0	1658297.590527
sub-2_ses-10_T1w.long.sub-2_base	2.708	2.91	2.143	3.492	2.898	2.474	3.013	2.547	2.333	2.77	2.244	2.744	3.031	2.952	2.503	2.807	2.743	2.69	1.902	2.36	2.444	2.852	2.535	2.82	2.698	2.841	2.314	3.124	2.797	2.855	3.26	2.68228	1312394.0	1658297.590527
