lh.aparc.DKTatlas.area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w.long.sub-2_base	1238.0	2273.0	2129.0	425.0	3325.0	5121.0	3403.0	1179.0	5628.0	3559.0	3420.0	1880.0	4535.0	628.0	1615.0	2095.0	789.0	1987.0	1613.0	4757.0	1193.0	4535.0	4345.0	1354.0	4678.0	8460.0	4348.0	5430.0	3365.0	434.0	2090.0	91829.1	1308498.0	1658297.590527
sub-2_ses-2_T1w.long.sub-2_base	1230.0	2279.0	2114.0	394.0	3266.0	5086.0	3391.0	1166.0	5610.0	3547.0	3408.0	1811.0	4538.0	620.0	1590.0	2084.0	768.0	1981.0	1604.0	4648.0	1187.0	4483.0	4262.0	1350.0	4592.0	8425.0	4283.0	5357.0	3321.0	430.0	2093.0	90918.9	1300941.0	1658297.590527
sub-2_ses-3_T1w.long.sub-2_base	1232.0	2270.0	2061.0	422.0	3287.0	5107.0	3365.0	1192.0	5600.0	3545.0	3409.0	1803.0	4528.0	630.0	1611.0	2101.0	785.0	1987.0	1579.0	4670.0	1170.0	4462.0	4246.0	1334.0	4619.0	8400.0	4264.0	5354.0	3316.0	430.0	2095.0	90874.7	1307371.0	1658297.590527
sub-2_ses-4_T1w.long.sub-2_base	1235.0	2267.0	2149.0	415.0	3319.0	5144.0	3467.0	1163.0	5781.0	3632.0	3475.0	1858.0	4535.0	627.0	1616.0	2094.0	794.0	2002.0	1656.0	4682.0	1073.0	4505.0	4255.0	1390.0	4722.0	8528.0	4279.0	5351.0	3325.0	429.0	2104.0	91870.5	1304397.0	1658297.590527
sub-2_ses-5_T1w.long.sub-2_base	1199.0	2286.0	2078.0	407.0	3290.0	5124.0	3366.0	1175.0	5671.0	3532.0	3331.0	1881.0	4504.0	621.0	1648.0	2111.0	781.0	1993.0	1612.0	4687.0	1026.0	4592.0	4321.0	1354.0	4652.0	8468.0	4316.0	5363.0	3305.0	421.0	2095.0	91212.5	1311780.0	1658297.590527
sub-2_ses-6_T1w.long.sub-2_base	1282.0	2281.0	2094.0	402.0	3298.0	5119.0	3384.0	1179.0	5680.0	3664.0	3379.0	1860.0	4514.0	628.0	1591.0	2101.0	787.0	2020.0	1657.0	4686.0	1187.0	4553.0	4291.0	1411.0	4684.0	8499.0	4310.0	5332.0	3346.0	431.0	2058.0	91706.9	1308491.0	1658297.590527
sub-2_ses-7_T1w.long.sub-2_base	1184.0	2284.0	2112.0	460.0	3343.0	5118.0	3419.0	1190.0	5663.0	3574.0	3398.0	1884.0	4502.0	621.0	1594.0	2107.0	784.0	1985.0	1648.0	4598.0	1172.0	4471.0	4236.0	1308.0	4656.0	8465.0	4267.0	5380.0	3334.0	428.0	2092.0	91277.6	1299086.0	1658297.590527
sub-2_ses-8_T1w.long.sub-2_base	1204.0	2275.0	2119.0	388.0	3276.0	5107.0	3345.0	1151.0	5637.0	3483.0	3455.0	1854.0	4513.0	625.0	1629.0	2122.0	784.0	2026.0	1642.0	4680.0	1036.0	4529.0	4294.0	1355.0	4718.0	8469.0	4276.0	5378.0	3334.0	430.0	2065.0	91198.6	1318054.0	1658297.590527
sub-2_ses-9_T1w.long.sub-2_base	1251.0	2331.0	2148.0	408.0	3330.0	5117.0	3381.0	1188.0	5757.0	3560.0	3522.0	1886.0	4578.0	630.0	1632.0	2126.0	815.0	2046.0	1686.0	4736.0	1200.0	4566.0	4322.0	1364.0	4722.0	8607.0	4326.0	5454.0	3362.0	428.0	2075.0	92555.3	1313615.0	1658297.590527
sub-2_ses-10_T1w.long.sub-2_base	1251.0	2285.0	2137.0	402.0	3305.0	5110.0	3411.0	1177.0	5729.0	3625.0	3475.0	1865.0	4537.0	628.0	1628.0	2117.0	792.0	2010.0	1656.0	4668.0	1200.0	4564.0	4299.0	1350.0	4637.0	8543.0	4298.0	5367.0	3342.0	424.0	2071.0	91905.0	1312394.0	1658297.590527
